mesurement id;Destination;hop numbers from mPlane;hop numbers from FranceIX;hop numbers from LISP-Lab;Country;Continent
5276766;54.235.145.223;16;20;28;US;NA
5277132;104.20.24.90;8;6;16;US;NA
5277096;104.20.64.203;8;6;16;US;NA
5276655;93.184.220.127;8;7;16;US;NA
5276443;108.174.10.10;7;12;19;US;NA
5276605;172.217.19.131;8;6;18;US;NA
5276538;124.127.180.200;16;25;28;CN;AS
5276825;130.211.186.109;13;11;21;US;NA
5277216;172.217.19.131;8;6;18;US;NA
5277167;216.200.199.56;15;21;29;US;NA
5277061;104.19.142.70;8;6;16;US;NA
5276981;148.251.77.209;12;10;18;DE;EU
5277102;134.213.2.238;12;13;26;GB;EU
5276879;104.16.108.24;8;6;16;US;NA
5276490;192.0.78.17;11;7;16;US;NA
5276873;58.68.250.146;14;28;26;CN;AS
5277236;151.101.65.95;10;10;17;US;NA
5277198;120.134.33.10;22;31;32;CN;AS
5277428;104.16.4.13;8;6;16;US;NA
5276831;23.235.33.133;10;10;17;US;NA
5276445;54.236.213.89;16;20;28;US;NA
5276641;72.21.206.80;18;23;31;US;NA
5277003;213.180.193.105;10;10;19;RU;EU
5276456;172.217.19.131;8;6;18;US;NA
5276548;205.204.101.42;25;27;26;US;NA
5276849;46.28.209.20;8;8;20;ES;EU
5276897;23.3.148.75;7;10;19;NL;EU
5276473;104.156.85.84;10;10;17;US;NA
5276889;59.151.116.98;19;28;31;CN;AS
5276627;104.16.51.93;8;6;16;US;NA
5276895;104.20.30.112;8;6;16;US;NA
5276674;172.217.19.142;8;6;18;US;NA
5276692;94.182.163.3;14;13;25;IR;AS
5276647;192.147.0.123;11;13;28;US;NA
5276419;69.171.230.68;15;14;22;US;NA
5277306;54.230.197.250;13;16;24;US;NA
5277196;120.138.69.70;14;23;26;VN;AS
5277320;220.231.200.140;22;21;32;CN;AS
5276774;172.217.19.131;8;6;18;US;NA
5277005;23.205.220.82;8;11;20;US;NA
5276913;182.253.238.102;11;12;21;ID;AS
5276649;123.126.98.150;23;19;32;CN;AS
5276607;125.6.149.67;14;14;26;JP;AS
5276760;54.230.197.162;13;13;23;US;NA
5276961;69.171.230.5;15;14;22;US;NA
5276813;213.180.141.140;14;13;21;PL;EU
5277163;151.101.129.34;10;10;17;US;NA
5277274;104.20.66.152;8;6;16;US;NA
5276593;172.217.19.131;8;6;18;US;NA
5277053;172.217.19.131;8;6;18;US;NA
5277371;65.97.58.16;14;11;21;GB;EU
5277226;66.235.121.141;7;10;19;US;NA
5276937;207.241.224.2;12;21;26;US;NA
5276696;54.223.189.245;14;24;27;CN;AS
5276770;104.20.24.135;8;6;16;US;NA
5276461;198.41.209.138;8;6;16;US;NA
5276881;172.217.19.131;8;6;18;US;NA
5276643;50.97.35.152;8;11;18;US;NA
5277278;23.35.125.139;8;4;13;NL;EU
5277023;66.235.120.94;7;10;19;US;NA
5276857;109.71.160.200;6;8;18;LU;EU
5277328;140.205.170.62;32;32;32;CN;AS
5277314;185.6.169.69;6;9;18;CH;EU
5276971;104.16.50.136;8;6;16;US;NA
5277302;180.179.112.50;14;14;28;IN;AS
5276554;199.181.131.249;7;12;26;US;NA
5277171;184.51.148.153;7;10;19;NL;EU
5276787;220.243.193.127;9;7;16;CN;AS
5276975;52.76.232.196;32;32;32;US;NA
5276678;104.156.81.67;10;10;17;US;NA
5276931;104.20.94.121;8;6;16;US;NA
5276659;172.217.19.131;8;6;18;US;NA
5276623;195.8.215.136;7;7;32;FR;EU
5276829;104.16.123.108;8;6;16;US;NA
5277476;23.3.152.175;7;10;19;NL;EU
5277112;208.94.153.100;16;15;22;US;NA
5276631;27.133.208.13;11;14;23;JP;AS
5277204;103.6.0.2;21;17;21;ID;AS
5276512;172.217.19.131;8;6;18;US;NA
5277260;23.235.33.134;10;10;17;US;NA
5276999;104.16.65.178;8;6;16;US;NA
5276429;172.217.19.131;8;6;18;US;NA
5277156;124.243.228.203;17;26;29;CN;AS
5277015;203.12.21.5;19;17;21;ID;AS
5276686;54.231.120.185;15;19;27;US;NA
5276943;172.217.19.131;8;6;18;US;NA
5276518;192.30.253.112;8;13;20;US;NA
5277363;155.64.49.54;7;12;26;US;NA
5276732;203.190.242.69;12;9;18;ID;AS
5276893;72.21.202.239;13;17;26;US;NA
5277013;80.168.92.141;8;12;20;GB;EU
5276833;104.20.23.247;8;6;16;US;NA
5277282;210.189.86.12;17;17;28;JP;AS
5276663;104.94.192.167;9;6;22;US;NA
5277087;74.112.185.90;6;20;18;US;NA
5277110;23.248.160.250;17;14;28;US;NA
5276619;219.85.79.131;14;16;26;TW;AS
5276615;104.20.77.29;8;6;16;US;NA
5277041;172.217.19.131;8;6;18;US;NA
5276740;172.217.19.131;8;6;18;US;NA
5277418;67.228.27.108;10;9;16;US;NA
5277454;216.33.197.90;8;9;19;AR;SA
5277250;165.254.226.65;9;16;21;US;NA
5277027;37.9.239.32;11;13;20;IT;EU
5277021;206.108.40.108;9;14;21;US;NA
5276865;23.200.87.140;8;7;17;FR;EU
5276817;96.114.14.140;12;19;24;US;NA
5277365;173.241.154.10;13;10;21;US;NA
5277158;202.80.220.213;13;14;23;ID;AS
5277085;104.16.32.27;8;6;16;US;NA
5276917;74.115.50.109;16;11;24;US;NA
5277220;194.50.69.124;9;7;19;DE;EU
5277460;120.55.238.185;32;32;32;CN;AS
5277444;217.74.65.23;17;19;20;PL;EU
5276544;124.225.65.154;19;24;27;CN;AS
5277416;69.89.74.80;21;21;27;US;NA
5277436;178.236.137.157;9;12;20;GB;EU
5277218;198.176.43.184;19;21;30;US;NA
5276985;83.66.162.3;13;13;25;TR;AS
5276851;172.217.19.131;8;6;18;US;NA
5276933;192.161.154.1;10;18;22;US;NA
5276945;54.192.198.72;13;13;24;US;NA
5277464;199.182.216.166;8;10;26;CA;NA
5277138;209.200.152.198;10;7;18;US;NA
5276993;97.74.104.222;11;10;18;US;NA
5277478;49.129.31.76;19;17;28;JP;AS
5276899;172.217.19.131;8;6;18;US;NA
5277412;216.146.46.10;6;10;18;US;NA
5276611;106.120.188.48;13;22;25;CN;AS
5277033;204.154.94.73;6;13;18;US;NA
5276437;172.217.19.131;8;6;18;US;NA
5276670;104.27.6.113;8;6;16;US;NA
5277334;170.146.93.56;10;17;22;US;NA
5277300;210.224.168.100;14;17;26;JP;AS
5276431;61.135.157.156;28;32;32;CN;AS
5277312;162.208.32.99;8;12;21;US;NA
5277294;81.19.72.32;10;8;18;RU;EU
5276905;192.33.31.51;8;7;17;US;NA
5277373;111.206.208.220;23;26;32;CN;AS
5276764;104.16.85.202;8;6;16;US;NA
5277406;170.20.0.18;7;12;19;US;NA
5277154;37.187.134.184;9;8;23;FR;EU
5276500;220.243.193.127;9;7;16;CN;AS
5276977;151.101.129.34;10;10;17;US;NA
5277069;176.32.100.45;18;21;30;NL;EU
5277381;203.66.53.8;13;16;25;TW;AS
5277254;209.58.128.90;20;22;20;US;NA
5276582;163.53.78.58;14;12;21;IN;AS
5276496;220.181.90.20;12;14;24;CN;AS
5276811;184.51.148.152;7;10;19;NL;EU
5276484;125.88.190.56;13;22;25;CN;AS
5277258;172.217.19.131;8;6;18;US;NA
5277414;104.20.86.35;8;6;16;US;NA
5276550;106.120.151.169;13;22;25;CN;AS
5276841;172.217.19.131;8;6;18;US;NA
5276963;52.207.3.146;16;20;28;US;NA
5276754;82.165.230.17;10;6;15;DE;EU
5276809;107.154.110.40;15;10;20;US;NA
5276756;193.252.148.140;11;11;15;FR;EU
5276835;123.30.128.195;13;15;28;VN;AS
5276989;104.16.11.250;8;6;16;US;NA
5277189;72.52.8.197;10;7;18;US;NA
5277296;77.88.55.55;9;9;19;RU;EU
5277177;68.71.222.16;8;15;20;US;NA
5276861;219.239.88.112;25;19;30;CN;AS
5277187;209.225.49.78;8;9;19;AR;SA
5277361;140.205.170.62;32;32;32;CN;AS
5277422;104.24.10.2;8;6;16;US;NA
5277185;104.20.11.85;8;6;16;US;NA
5276468;94.100.180.200;11;9;18;RU;EU
5276609;68.71.212.186;8;13;20;US;NA
5277268;104.24.4.33;8;6;16;US;NA
5276855;124.251.98.4;27;23;32;CN;AS
5277248;104.16.29.30;8;6;16;US;NA
5276680;54.192.199.95;13;16;23;US;NA
5276803;172.217.19.131;8;6;18;US;NA
5276690;153.254.147.65;14;16;26;JP;AS
5277071;203.183.234.2;16;17;27;JP;AS
5276516;217.20.155.58;10;9;20;RU;EU
5277280;140.205.230.48;32;32;32;CN;AS
5276827;91.198.174.192;10;7;23;NL;EU
5277310;192.33.31.72;8;7;17;US;NA
5276955;208.93.170.15;6;13;18;US;NA
5277244;216.58.211.105;8;11;18;US;NA
5277308;115.231.100.109;16;25;29;CN;AS
5277037;68.233.77.233;15;17;24;US;NA
5276684;104.103.89.231;11;10;22;US;NA
5276601;123.126.99.31;23;19;32;CN;AS
5276498;172.217.19.131;8;6;18;US;NA
5276805;63.245.215.20;19;12;32;US;NA
5277458;104.27.214.30;8;6;16;US;NA
5276595;172.217.19.131;8;6;18;US;NA
5277326;141.0.173.22;12;11;21;NL;EU
5277456;192.16.31.23;12;11;20;US;NA
5276742;23.200.86.152;8;7;17;FR;EU
5276772;194.132.198.165;15;14;22;JP;AS
5276667;210.210.18.53;8;10;18;IN;AS
5277173;172.217.16.68;8;11;18;US;NA
5276901;77.75.79.53;10;11;21;CZ;EU
5276657;172.217.19.131;8;6;18;US;NA
5277234;104.25.160.23;8;6;16;US;NA
5276478;172.217.19.131;8;6;18;US;NA
5276983;104.16.59.133;8;6;16;US;NA
5276637;186.192.90.5;10;10;28;BR;SA
5277106;78.140.188.189;6;6;18;NL;EU
5277222;172.217.19.132;8;6;18;US;NA
5276941;144.160.155.43;10;16;22;US;NA
5277430;54.165.95.219;16;20;28;US;NA
5277266;95.142.199.215;9;9;19;RU;EU
5277322;140.205.250.54;32;32;32;CN;AS
5277150;104.93.248.186;9;8;17;US;NA
5276718;192.33.31.56;8;7;17;US;NA
5276694;203.209.152.60;13;13;25;JP;AS
5277369;74.50.63.27;8;17;20;US;NA
5276885;104.101.166.212;9;6;22;US;NA
5277482;104.27.161.160;8;6;16;US;NA
5277330;46.209.99.210;17;17;24;IR;AS
5277400;81.171.123.200;14;9;22;NL;EU
5276973;159.226.6.133;16;18;25;CN;AS
5276486;78.140.191.70;6;7;18;NL;EU
5277148;202.102.90.109;15;24;27;CN;AS
5277019;172.217.19.132;8;6;18;US;NA
5276847;182.253.224.184;13;9;20;ID;AS
5276572;104.156.81.194;10;10;17;US;NA
5276540;172.217.19.131;8;6;18;US;NA
5276520;31.192.120.36;8;10;20;NL;EU
5276927;148.251.23.152;12;10;18;DE;EU
5276708;104.156.81.217;10;10;17;US;NA
5277246;74.125.71.94;18;21;26;US;NA
5276524;216.58.211.105;8;11;18;US;NA
5277140;2.19.231.10;6;7;17;US;NA
5276875;91.211.75.193;10;8;18;NL;EU
5276425;91.198.174.192;10;7;23;NL;EU
5277359;172.217.18.233;8;6;18;US;NA
5277098;149.154.167.99;8;9;17;GB;EU
5277385;192.0.78.24;11;7;16;US;NA
5277175;212.27.48.10;9;8;20;FR;EU
5276925;216.34.181.60;12;17;24;US;NA
5276504;151.101.1.69;10;10;17;US;NA
5277122;104.16.64.153;8;6;16;US;NA
5277094;69.89.69.99;20;20;26;US;NA
5276435;204.79.197.200;10;11;22;US;NA
5276744;104.23.197.8;8;6;16;US;NA
5276929;209.102.213.14;10;19;22;US;NA
5277114;104.20.55.43;8;6;16;US;NA
5277059;104.20.1.139;8;6;16;US;NA
5276869;162.212.41.11;14;11;22;US;NA
5276877;151.101.128.230;10;10;17;US;NA
5277383;192.187.93.86;9;13;22;US;NA
5277073;178.33.165.129;9;8;23;ES;EU
5277210;74.205.63.94;10;14;22;US;NA
5277212;75.98.93.51;14;14;22;US;NA
5276569;216.21.13.12;12;10;19;US;NA
5276778;82.165.229.87;11;7;16;DE;EU
5276482;172.217.19.131;8;6;18;US;NA
5277367;23.200.87.127;8;7;17;FR;EU
5276783;210.51.19.63;11;17;21;CN;AS
5277420;104.27.168.11;8;6;16;US;NA
5277202;194.158.2.5;7;12;20;CH;EU
5277100;193.51.224.8;6;5;13;FR;EU
5277001;173.192.117.80;9;9;16;US;NA
5276676;192.229.162.112;7;10;19;US;NA
5277181;104.24.7.4;8;6;16;US;NA
5277134;161.69.25.181;15;19;30;US;NA
5277035;85.111.30.111;18;18;29;TR;AS
5276562;172.217.19.131;8;6;18;US;NA
5276750;172.217.20.41;8;6;18;US;NA
5277104;207.244.80.166;13;11;20;US;NA
5277144;104.25.28.101;8;6;16;US;NA
5276959;46.20.153.2;18;17;28;TR;AS
5277206;216.251.127.130;11;17;23;US;NA
5276534;23.103.183.15;20;25;31;US;NA
5276915;172.217.19.131;8;6;18;US;NA
5277452;87.250.255.11;8;7;19;RU;EU
5277124;38.102.136.104;18;20;26;US;NA
5276768;172.217.19.131;8;6;18;US;NA
5277130;23.200.86.121;8;7;17;FR;EU
5276698;172.217.19.131;8;6;18;US;NA
5276949;163.172.21.184;10;5;15;GB;EU
5276815;74.125.71.160;18;21;26;US;NA
5277120;54.83.2.218;16;19;28;US;NA
5276560;172.217.19.131;8;6;18;US;NA
5277128;204.155.149.139;13;11;21;US;NA
5277075;54.230.197.112;13;16;23;US;NA
5276987;79.175.144.35;17;19;29;IR;AS
5276704;107.22.178.157;14;18;26;US;NA
5277152;104.16.10.104;8;6;16;US;NA
5277242;104.16.15.190;8;6;16;US;NA
5277480;72.163.4.161;9;14;21;US;NA
5277354;104.197.47.161;13;11;21;US;NA
5276821;172.217.19.131;8;6;18;US;NA
5277316;103.10.4.216;12;10;21;TW;AS
5276575;222.73.144.157;14;23;26;CN;AS
5276712;104.16.254.64;8;6;16;US;NA
5277377;210.139.248.1;14;13;24;JP;AS
5276909;198.134.112.232;8;13;20;US;NA
5277017;61.129.65.103;15;24;27;CN;AS
5277092;104.96.26.164;9;6;22;US;NA
5276492;216.58.208.233;8;11;18;US;NA
5277410;104.20.81.244;8;6;16;US;NA
5276578;212.58.244.22;9;11;21;GB;EU
5277276;138.101.8.100;14;13;27;JP;AS
5276969;119.147.114.19;16;25;28;CN;AS
5277160;172.217.19.131;8;6;18;US;NA
5276417;172.217.16.78;8;11;18;US;NA
5277081;46.245.163.1;15;15;27;TR;AS
5276629;192.211.12.20;7;12;23;US;NA
5276728;69.147.76.173;17;15;24;US;NA
5277256;220.243.193.127;9;7;16;CN;AS
5276785;151.101.32.68;11;13;21;US;NA
5276939;104.156.85.64;10;10;17;US;NA
5277194;5.135.203.40;14;13;27;FR;EU
5277169;67.196.156.65;10;11;23;US;NA
5276867;172.217.19.131;8;6;18;US;NA
5276801;63.240.4.179;11;17;23;US;NA
5276589;106.120.160.134;13;23;25;CN;AS
5276748;173.252.120.6;13;14;22;US;NA
5277067;125.6.149.67;14;14;26;JP;AS
5277116;5.134.209.108;8;7;19;PL;EU
5277047;205.186.187.178;10;15;26;US;NA
5276558;66.235.120.127;7;10;19;US;NA
5276476;104.244.42.5;7;5;14;US;NA
5276564;123.30.175.29;15;12;26;VN;AS
5277049;205.203.140.1;11;16;26;US;NA
5276953;104.31.83.13;8;6;16;US;NA
5276730;104.20.93.127;8;6;16;US;NA
5276514;172.217.19.131;8;6;18;US;NA
5277264;222.158.213.148;18;20;27;JP;AS
5277379;209.95.39.162;8;18;20;US;NA
5277332;104.20.73.64;8;6;16;US;NA
5276580;172.217.19.131;8;6;18;US;NA
5276762;31.192.116.24;10;12;22;NL;EU
5277402;23.15.77.41;7;10;19;NL;EU
5277290;93.115.81.41;12;13;18;RO;EU
5276621;120.24.248.50;18;20;30;CN;AS
5277179;206.54.181.6;6;6;18;US;NA
5277270;104.20.24.138;8;6;16;US;NA
5276665;200.147.67.142;15;17;27;BR;SA
5276506;52.41.146.181;17;23;29;US;NA
5277318;146.197.184.71;8;19;26;US;NA
5276459;180.149.131.31;15;24;28;CN;AS
5276536;111.206.227.118;23;26;32;CN;AS
5277336;61.135.218.26;22;25;32;CN;AS
5276625;54.222.60.218;22;31;32;CN;AS
5277468;92.62.130.180;9;10;18;LT;EU
5276542;172.217.19.131;8;6;18;US;NA
5277118;92.122.19.40;10;13;22;GB;EU
5276556;108.160.172.206;9;12;21;US;NA
5276546;103.23.108.107;12;19;29;TW;AS
5276672;42.156.162.55;30;32;32;CN;AS
5276599;172.217.19.131;8;6;18;US;NA
5277043;69.191.252.148;10;16;22;US;NA
5277077;178.33.44.27;8;7;20;FR;EU
5276635;172.217.19.131;8;6;18;US;NA
5276530;133.237.48.124;14;17;24;JP;AS
5277063;104.31.72.239;8;6;16;US;NA
5276587;192.150.16.117;11;17;23;US;NA
5277228;46.224.3.195;14;16;28;IR;AS
5277009;104.16.122.127;8;6;16;US;NA
5276951;137.254.120.50;9;14;21;US;NA
5276526;184.173.147.39;8;11;18;US;NA
5276488;172.217.19.131;8;6;18;US;NA
5277051;151.101.128.175;10;10;17;US;NA
5277031;104.25.174.27;8;6;16;US;NA
5277292;64.94.140.201;10;15;23;US;NA
5277272;54.231.241.169;14;11;25;US;NA
5277108;59.106.194.19;15;18;25;JP;AS
5276702;151.101.65.69;10;10;17;US;NA
5276758;104.70.242.123;9;12;20;US;NA
5277126;206.131.180.21;16;10;21;US;NA
5276823;104.85.66.52;9;6;21;US;NA
5276494;151.101.60.193;10;10;21;US;NA
5276714;210.129.120.43;16;16;27;JP;AS
5276957;101.201.172.229;32;32;32;CN;AS
5276421;111.13.101.208;15;18;26;CN;AS
5276991;121.14.241.75;14;23;26;CN;AS
5277304;172.217.19.131;8;6;18;US;NA
5276789;69.172.201.47;10;32;32;US;NA
5276700;185.87.146.3;8;6;17;PL;EU
5276471;172.217.19.131;8;6;18;US;NA
5277375;216.35.221.76;15;18;27;US;NA
5276532;208.82.237.129;6;14;18;US;NA
5276716;172.217.19.131;8;6;18;US;NA
5276979;81.19.82.10;10;8;18;RU;EU
5277146;52.197.170.122;11;19;24;US;NA
5277470;23.45.151.67;7;10;19;US;NA
5276617;212.58.244.22;9;11;21;GB;EU
5276734;104.70.253.135;9;12;20;US;NA
5276935;119.145.147.181;15;24;27;CN;AS
5276845;104.18.56.71;8;6;16;US;NA
5276752;69.252.80.75;8;14;20;US;NA
5277404;209.104.56.26;17;19;30;US;NA
5277284;199.83.129.48;15;10;26;US;NA
5276853;212.77.98.9;8;10;20;PL;EU
5277011;108.59.8.152;11;14;20;US;NA
5277232;113.240.254.10;13;22;25;CN;AS
5277286;91.195.49.131;9;7;19;DE;EU
5276780;193.164.196.82;11;6;15;FR;EU
5276415;172.217.16.68;8;11;18;US;NA
