destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
123.125.116.19;LISP-Lab;251.027375;250.898115;250.987465;250.881365;250.99549;250.947255;251.265035;250.83656;251.261435;251.30435;250.95316;250.82096;251.01939;251.42746;251.163025;251.08819;251.33996;303.142835;251.16739;251.02672;260.606785;251.795885;250.89746;253.230975;-1;251.031935;250.95967;252.078955;252.02475;252.25788;251.2977;261.14389;261.804155;253.882795;251.035685;250.807335
123.125.116.19;rmd;367.704745;370.35727;338.944625;361.294335;339.49901;369.528465;406.143465;365.72113;364.164375;370.704135;384.305925;381.428335;389.03022;384.6333;385.73018;388.571815;390.16231;383.182685;387.68662;384.455795;390.504785;386.57668;390.43307;390.40012;390.690005;386.64863;415.90313;413.296585;400.74653;390.443755;390.42106;388.113785;-1;383.338945;385.24618;387.44434
185.31.18.193;FranceIX;10.023394;9.901299;10.038783;9.886871;9.858331;9.910535;9.959203;10.125766;9.89685;9.974906;9.888801;9.952248;9.953308;9.881056;10.23122;10.026014;9.908115;9.919818;10.104981;9.851987;10.013604;9.909044;10.017519;9.958316;10.011239;9.98536;9.870617;9.927383;9.939519;9.933594;10.172083;9.89946;9.930239;10.035939;10.071517;10.138904
185.31.18.193;mPlane;8.119;8.189;10.157;10.998;8.208;8.173;8.277;8.382;12.148;8.128;8.314;8.744;8.639;8.263;13.315;8.231;8.582;8.164;8.12;8.265;8.274;8.261;10.567;8.328;8.194;8.286;8.327;9.998;12.68;8.148;8.401;8.57;8.241;8.218;8.115;16.716
185.31.18.193;LISP-Lab;27.58864;27.609685;26.984025;27.307345;27.11033;26.99285;26.60126;27.304665;26.919435;28.63303;27.22587;27.194555;27.28508;27.31557;27.54999;28.341475;27.43868;27.51513;26.93415;27.13167;40.910445;27.183905;30.38806;27.15758;-1;27.392455;27.731825;27.14752;27.07068;27.309345;27.424415;31.303775;27.13052;29.76561;26.874825;27.67344
185.31.18.193;rmd;9.066275;9.209755;9.06487;8.9202;9.358775;9.00089;9.22528;9.019705;9.5497;9.289025;9.10141;9.08053;8.91768;9.331525;9.09038;9.044175;9.160725;9.22871;9.18885;9.664995;9.70454;8.890985;9.391545;9.156995;9.26566;9.7875;9.20796;8.963405;9.431175;9.15138;9.201885;9.41907;10.1757;9.858615;9.857955;9.18094
141.0.174.44;mPlane;13.279;13.257;13.347;13.264;13.319;14.579;16.74;13.342;13.295;13.346;13.322;13.308;13.311;13.316;13.289;17.734;13.411;13.365;13.326;13.542;17.947;14.602;13.42;13.285;13.769;-1;17.335;13.518;13.297;13.283;13.663;14.931;13.289;18.081;13.256;13.406
141.0.174.44;FranceIX;11.767064;11.82084;11.805982;11.722756;11.788863;11.894579;11.950146;12.039671;11.75425;11.716516;11.716866;11.657773;11.872774;11.937621;11.820477;11.979209;11.737306;11.75184;11.823116;11.692007;11.853655;11.938211;11.956469;11.981869;-1;-1;11.760034;11.880269;11.673503;11.729165;11.716606;11.703812;11.884209;11.997623;11.900348;11.766213
141.0.174.44;rmd;15.60982;15.65349;15.72091;15.69865;15.708255;15.90249;15.50073;15.83788;15.80703;15.980335;15.858565;16.264495;16.16563;15.803845;15.58931;16.769795;15.961455;15.89646;15.76031;16.02525;17.854065;16.86386;16.35546;15.95373;16.153275;-1;16.12621;16.37159;15.912105;35.89414;16.303475;15.700555;-1;14.27726;14.7774;13.686215
141.0.174.44;LISP-Lab;25.49044;69.754525;26.12316;26.026165;25.331875;25.352405;24.75547;25.066225;25.665495;34.01834;24.61491;33.94623;25.075085;25.48411;24.989475;26.840355;24.67876;25.80531;24.942855;25.26674;38.265815;25.21388;25.340455;25.0486;-1;38.31946;26.0699;24.969875;29.258035;25.864015;25.556685;35.070805;42.606335;48.905615;31.720415;26.123395
54.149.140.74;mPlane;150.051;155.861;150.007;150.072;149.993;150.526;156.257;150.545;150.645;153.828;150.67;152.168;152.121;152.582;152.197;152.227;151.341;155.972;152.105;152.117;152.145;152.152;150.575;155.517;150.669;150.006;150.888;150.595;154.156;154.21;152.097;151.992;152.084;155.53;150.955;152.144
54.149.140.74;rmd;170.396635;170.76139;170.33785;170.267875;170.87851;170.41088;170.16409;180.5568;180.296025;170.32903;171.141115;170.265515;170.585035;170.51789;170.53266;170.36337;180.32354;170.19091;171.11226;170.477295;170.709;170.00153;170.796055;180.36274;170.39234;170.515245;169.68488;170.239825;170.178745;170.59202;170.358875;169.711785;-1;192.71543;182.072515;182.32832
54.149.140.74;FranceIX;169.625321;169.76892;169.718072;169.440876;169.507557;169.625313;169.575234;169.488268;169.542766;169.704423;169.508302;169.528656;169.654231;169.55318;169.728766;169.720353;169.845746;169.710533;169.614377;169.468714;169.830128;169.761975;169.575905;169.684679;170.766382;169.750331;169.610462;169.741751;169.822473;169.774834;169.746756;169.800259;169.665785;169.775359;169.736852;169.900439
54.149.140.74;LISP-Lab;175.28831;175.367135;177.936525;176.635015;175.625885;179.31329;197.25366;179.27216;190.88465;178.727345;176.164405;178.66621;176.04932;175.530855;175.926815;180.899005;175.546715;175.54265;175.774765;175.40263;200.412005;178.59042;180.985505;175.947325;-1;182.53633;176.39664;218.45002;187.19341;176.27894;180.54163;176.140005;183.454945;183.863595;177.824195;177.396795
106.120.167.66;mPlane;409.09;399.267;393.642;386.346;345.345;322.367;352.643;307.687;307.027;303.657;419.4;358.764;417.259;420.613;396.798;389.788;336.747;410.626;405.145;300.549;409.905;441.615;412.568;416.866;401.719;418.185;401.005;411.77;409.931;416.822;419.632;453.464;430.72;481.888;421.692;400.09
106.120.167.66;rmd;266.85067;198.586465;259.366855;220.887915;195.451595;194.89919;195.895565;195.364855;197.939165;196.170915;229.011665;194.282445;265.74255;196.394915;245.8663;196.275905;203.91817;197.338495;218.34462;196.58235;198.265635;296.667945;192.46337;196.38784;230.458115;196.3145;201.354915;196.173925;256.021575;220.99137;280.039925;352.3512;-1;258.25072;293.82273;265.995565
106.120.167.66;FranceIX;335.270922;335.619616;351.818;366.136753;371.271114;356.367829;341.963255;364.197488;374.172044;364.606599;350.444818;370.434461;352.339835;339.162942;339.250234;372.890565;337.37033;339.54853;362.710068;401.423219;411.894323;388.588712;372.722846;371.126322;426.718312;390.107757;379.89269;370.652871;382.675654;370.234875;396.758316;438.577698;457.259985;432.594148;387.261229;375.586932
106.120.167.66;LISP-Lab;269.551515;305.769455;296.513645;345.02426;289.319925;297.16568;291.243175;315.75201;294.073335;258.0028;339.87701;296.315575;281.781725;340.47146;324.160615;339.29195;272.47789;348.17172;303.58976;260.113565;360.062395;355.634025;318.18381;259.31002;-1;350.876265;334.523745;362.317545;357.65499;357.850535;357.90898;365.28511;366.019405;367.3621;353.239045;357.17729
198.11.132.23;FranceIX;153.218744;153.387618;153.490064;153.316806;153.500198;153.56535;153.557841;153.417717;153.417557;153.270203;153.394148;153.401383;153.615059;153.460625;153.347605;153.522223;153.402192;153.614157;153.479149;153.447126;153.426886;153.421411;153.482954;153.361919;153.533557;153.68639;153.400154;153.389137;153.514687;153.50116;153.388003;153.425071;153.316246;153.442131;153.42464;153.465061
198.11.132.23;mPlane;158.685;158.647;158.563;164.644;158.554;166.667;158.746;158.61;158.554;158.623;162.419;158.728;158.627;158.519;165.082;159.85;158.555;158.578;160.911;158.512;158.539;158.595;159.347;158.671;167.827;158.623;161.28;158.591;158.601;158.746;158.579;158.645;158.571;158.742;160.986;158.754
198.11.132.23;LISP-Lab;174.385615;174.523745;174.258755;174.209075;174.510215;174.29906;174.37056;174.550955;175.3173;173.89894;176.03252;174.61574;174.34911;174.35027;174.48765;174.41738;174.17625;174.129845;174.241265;176.14287;191.458355;184.437375;174.340365;174.29282;-1;175.061595;-1;176.162215;174.953425;174.434705;174.31958;174.594225;183.70006;174.17049;174.3732;174.054795
198.11.132.23;rmd;157.653525;157.45486;157.463675;157.39064;157.99215;157.4382;157.86442;157.65499;157.56126;157.625495;157.518785;157.85381;157.43415;157.58964;157.89869;157.693185;157.57214;157.426865;157.83906;157.694;157.467685;157.809075;157.311;157.41538;157.8214;157.637195;157.95696;157.690455;157.485895;157.736295;157.50166;157.62218;152.917735;153.14544;153.5627;152.95901
199.181.131.249;mPlane;136.809;136.773;136.701;136.812;137.039;142.08;137.158;143.147;137.018;136.685;136.801;136.731;140.999;136.721;136.736;137.209;139.941;140.116;136.675;136.908;136.712;136.728;136.721;136.935;145.712;136.796;137.641;137.859;137.006;145.67;140.206;136.782;141.78;137.043;138.289;136.764
199.181.131.249;rmd;144.545025;144.212765;144.560725;144.23875;144.459015;144.19167;144.196975;144.511125;144.0282;144.410675;144.125345;144.36253;144.41677;144.66956;144.5455;144.18622;144.34249;144.691185;144.21048;144.46853;144.232765;144.28324;144.51861;144.55944;144.147535;144.20843;144.222605;144.677885;144.571185;144.690955;144.10033;144.203965;-1;144.27735;144.35064;144.10243
199.181.131.249;FranceIX;152.218783;152.126498;152.133262;152.180846;152.110993;152.29974;152.254102;152.267901;152.161451;152.195339;152.370176;152.061996;152.129097;152.130197;152.258712;152.108794;152.267787;152.215424;152.344783;152.081684;152.375712;152.123813;152.293006;152.486133;152.196549;152.099643;152.084085;152.075515;152.094744;152.210254;152.174401;152.549411;152.188395;152.463218;152.276047;152.115354
199.181.131.249;LISP-Lab;153.6269;153.986285;154.18983;153.97886;153.692315;154.033235;159.339;153.63708;154.39774;153.960215;154.036985;155.297975;154.067545;154.278485;155.91993;154.36802;154.14702;153.504615;154.082405;153.9827;160.263555;153.76215;153.615355;154.821155;157.875615;171.386215;154.655155;154.962735;154.02744;156.10988;153.650465;162.23211;172.0736;154.82339;153.69247;153.67363
198.252.206.16;FranceIX;72.859681;72.832117;72.945902;72.845872;72.807124;72.858516;72.985105;72.993835;72.863032;73.064756;73.047113;72.780615;72.922202;72.660015;72.663681;72.901479;73.055492;72.81107;72.99369;72.942282;72.931937;72.894764;72.883861;72.936467;72.940727;72.825258;72.847012;72.903629;72.882584;72.911808;72.738467;72.911323;72.809359;72.855516;73.049307;72.755921
198.252.206.16;mPlane;86.736;86.54;86.474;86.504;86.67;86.808;86.788;88.155;86.91;86.525;86.815;86.719;86.579;89.12;86.529;86.74;86.615;91.487;86.628;86.566;86.72;86.513;86.599;86.806;90.961;88.689;86.631;86.585;86.708;86.559;86.604;86.565;86.688;91.746;86.695;86.654
198.252.206.16;LISP-Lab;85.585875;84.90106;84.8749;85.162025;85.03767;85.02651;84.952175;85.20241;85.02983;84.952095;85.132675;85.62132;84.95718;85.222855;85.3679;85.06173;85.12271;85.44065;85.04517;84.84432;94.66938;85.00148;87.20543;85.22706;-1;88.44214;107.489755;87.55599;85.134915;85.18104;86.28777;86.033175;86.15747;101.783615;86.98542;86.29234
198.252.206.16;rmd;75.884115;75.98498;76.16142;96.545875;75.900955;76.52134;76.12673;75.90871;76.07742;76.57958;76.0296;75.854755;75.949025;76.06656;76.198095;76.325995;76.209405;76.37945;76.603645;76.18886;76.02537;76.37662;76.0107;76.075015;76.101565;76.01025;76.095005;76.11285;76.08449;76.16658;76.15447;75.94664;-1;89.380875;89.65987;89.28934
217.20.147.94;mPlane;55.439;55.375;55.39;55.345;55.434;55.898;57.91;55.417;64.229;55.521;55.362;55.384;55.445;60.395;55.323;55.466;55.381;55.363;55.407;55.574;62.524;55.39;63.939;55.397;55.363;55.36;55.514;55.412;55.345;55.346;55.6;58.97;57.169;63.926;55.355;56.012
217.20.147.94;rmd;62.686595;63.061565;62.532395;62.598335;62.802395;62.84516;62.62544;62.40916;63.012895;62.75135;62.823135;62.560785;62.646375;62.743855;63.2168;106.13377;74.483975;80.089975;62.772035;76.656615;62.59988;64.54852;153.715095;62.68433;62.592725;62.619085;62.49388;62.919545;62.786755;62.67685;153.110555;159.290725;61.855135;61.72795;74.40209;64.263975
217.20.147.94;FranceIX;52.706043;53.036253;52.694063;52.706293;52.90066;52.707663;52.834478;52.78179;52.811893;52.663075;52.981861;52.958017;52.968711;52.960706;52.742731;52.78607;52.589133;52.898784;52.816739;52.819198;52.721978;52.68088;52.647965;52.894574;52.784439;52.958621;52.943977;53.092995;52.914803;53.020833;53.018049;52.702273;52.936948;53.012459;52.950631;53.111055
217.20.147.94;LISP-Lab;71.463915;71.36643;71.49653;71.543255;71.554275;71.663185;71.6621;71.433995;71.513405;71.412685;71.48665;71.20256;71.822905;71.684675;71.745245;71.53227;71.389575;71.825565;71.43281;71.513515;73.200385;71.49406;71.56763;71.39881;71.47926;71.51706;78.623785;71.4894;71.40682;71.690415;71.646035;86.88891;89.87627;80.62406;71.63738;71.65776
208.82.238.129;mPlane;157.8;155.54;156.603;161.84;165.77;156.192;155.494;155.466;159.021;156.687;155.371;158.747;156.411;157.491;156.255;155.343;164.117;155.405;155.513;155.357;155.407;160.841;155.393;155.381;155.389;155.412;155.381;156.199;155.318;161.114;155.909;155.395;157.189;155.393;155.401;156.866
208.82.238.129;rmd;153.51647;153.502055;153.818835;153.39167;153.874205;153.48821;153.65615;153.87217;153.48322;153.4899;153.742445;153.24269;153.57667;153.55319;153.66928;153.67962;153.51256;153.811275;153.336555;153.953625;153.60641;153.971955;153.677665;153.725655;153.733415;153.885825;153.56007;153.509595;153.758915;154.015635;153.327235;153.444355;153.62775;153.5223;153.5283;153.66027
208.82.238.129;FranceIX;150.068647;150.253214;150.225835;150.22676;150.260759;150.356504;150.278048;150.073207;150.198622;150.24896;150.279548;150.409887;150.417743;150.500245;150.197817;150.279093;150.145184;150.517818;150.401853;150.374694;150.3555;150.326867;150.37034;150.225696;150.518439;150.532193;150.528517;150.405714;150.074452;150.290832;150.599584;150.473444;150.409747;150.110095;150.300393;150.110461
208.82.238.129;LISP-Lab;165.404585;164.541815;165.062775;164.852285;164.562805;164.6768;164.760775;165.43608;165.39079;164.75554;164.68962;164.760945;164.923265;164.97139;164.9812;164.54269;164.95838;164.949955;164.8708;164.77033;179.906735;167.50461;164.673145;164.81411;169.22014;165.106535;166.852165;164.84145;165.109005;169.07359;165.655505;175.75775;168.12448;165.073175;165.438195;164.577335
