mesurement id;Destination;mean(min RTT) from Gandi;mean(min RTT) from mPlane;mean(min RTT) from FranceIX;mean(min RTT) from LISP-Lab;mean(min RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6963617;104.156.81.194;10.358330456349208;1.6794647222222221;1.2179302837301587;25.393382440476191;66.250968162698399;1.1411636860938315;0.039335742646450615;0.021051139866040527;7.329620777583032;82.428728487103399;US;NA
6964409;192.0.78.24;17.995688071528754;9.6340092496493686;10.182019039270688;22.63492257363254;168.0992210350631;181.3319844530167;0.044570196528434178;13.515644021091326;6.4968428304213219;659.41037059000234;US;NA
6963673;27.133.208.13;231.96093933555926;216.72962301335559;261.50726607345575;238.43748490818035;271.69293471786312;31.076324264669719;14.510579837012166;41.797805448493463;118.31305820382651;7104.0047648997743;JP;AS
6964312;54.231.241.169;203.56720088011281;246.25656183356841;184.46872224964741;263.3533884203103;343.08990895486596;11508.638358225371;0.89192623500009161;53.324769281306473;349.04515068093275;274.17620390719469;US;NA
6964439;104.16.4.13;37.764906251057823;6.8608731875881519;6.9267761509167833;36.269770028208747;78.024268393511989;22224.338525089883;18.215270419360294;25.891079253369828;10.871331440145061;246.11431763447229;US;NA
6963675;96.43.149.26;87.296854287560578;78.800696235864294;93.196337667205171;95.567917875605815;183.53433319709208;2394.0947304905449;0.047554649735184883;13.882627576227321;23.954955877551743;4754.9217613513729;US;NA
6963759;192.33.31.56;3.1335690970350401;1.5786611725067388;1.001502447439353;30.502130471698113;141.54753756873316;4.2196782633750693;0.016888220388989107;0.0051070736127971023;6.7800710625548311;455.63332142206093;US;NA
6964044;173.192.117.80;143.31882733513515;114.57438112162161;118.18386891891892;130.0033668108108;154.40736093783784;9.7623281053986748;16.353271670240975;0.88083913132892266;8.2814426479896994;36.910104455687396;US;NA
6964383;172.217.18.233;3.6155776278481011;1.700426025316456;1.2314871113924051;19.888150898734178;101.37451758481012;13.737052897873133;0.020028513506606952;0.0080283026626205029;8.8598600496114059;139.65091109868874;US;NA
6964480;92.62.130.180;86.166108446478873;56.749901077464777;35.46055664084507;84.880585992957748;95.270577187323937;8930.144901733227;0.25639096890077578;14.250079195806364;10.055556397570951;7177.7203311366511;LT;EU
6964108;104.101.185.194;3.3229661462728548;1.9309233192686359;1.6408519198312237;12.524698185654008;106.57007018565402;1.2794601451021193;0.042088968527590052;9.4123152288799883;42.605833455565062;300.14000606011354;US;NA
6964144;134.213.2.238;59.710158578333335;11.317740591666666;9.8369799133333338;27.279188166666664;176.74734682500002;86011.698558191798;0.88170101359394148;0.44990934988780917;5.9268896014104726;1408.5814691503053;GB;EU
6963921;104.16.108.24;7.1959669472295511;6.4654981794195256;6.8197088627968343;35.91299542216359;65.727301430079152;26.208467863086398;17.388631707375708;25.929019084626759;9.6783767689280538;85.29411526497735;US;NA
6963721;54.192.199.95;11.107785990439771;8.9513942065009555;15.563698579349904;23.184560736137669;65.553469822179721;3.2746123160707969;0.080021889041674371;0.052024144455643302;7.5941973979866946;5234.5367560031254;US;NA
6964078;85.111.30.111;67.426257596938783;60.239835238095232;55.23888881972789;67.234095858843546;213.36027263095238;1593.6553691590075;28.419218466514227;0.15107661119423618;7.5343047260246463;83088.942685677277;TR;AS
6964176;161.69.25.181;115.87375049779736;122.27714729074889;118.56360540528635;137.12935924008809;163.0353966894273;18.039721749602691;0.13226010667272609;0.077348877462910706;14.786068330051355;177607.66803041354;US;NA
6963747;104.20.60.241;10.921550199612401;2.0931689437984495;1.29263621124031;36.188591094961247;68.0369671007752;4013.9045038893196;1.7504443153079443;2.6195402995407009;11.424945367466194;1237.0771054748723;US;NA
6964014;104.16.50.136;6.8554947104557638;6.6667845174262741;6.8070722788203746;35.72397056300268;65.09526082573727;21.032780540879315;17.856333608494808;25.866142483180461;10.500361146914292;21.703987623512472;US;NA
6964449;151.101.16.144;11.698805298737728;8.1045422089761576;8.3472575834502099;24.85858970546985;153.9468157882188;5.0516857051054584;0.043225225824047489;2.5552576391177353;7.5091381325117661;887.07874333445568;US;NA
6963487;61.135.157.156;417.51609507415259;364.87601382415249;374.22486741737293;385.0570792690678;472.63784980084745;6144.4485841689602;1362.70621486697;2283.4557588732478;1840.0905961061492;1210997.903307454;CN;AS
6963780;23.200.86.143;4.5358176331096196;1.3864431208053689;1.5459807225950781;10.034739574944071;172.95685971812082;22.605691429800817;0.031488139558325454;0.020564890655019246;8.7772053195352786;50367.054748194067;FR;EU
6963838;117.21.226.199;376.12970100307223;378.8866414592934;321.76780878341015;386.72715523809524;385.21986296313366;4052.5922950070399;2827.2306239564559;564.74403603726148;4705.3325074910617;1484.5107285207719;CN;AS
6963974;104.20.94.121;6.719847584033614;2.0865254131652664;1.3259435518207283;36.404549558823526;81.245653201680668;842.73492980065089;1.687426088137679;2.5985206529593228;10.957537820072808;27934.24837283892;US;NA
6963611;123.30.175.29;263.88028875906735;300.43739051813469;282.8411008678757;332.33989383419691;353.05708811398961;116.36628835037627;557.98510033259845;262.45064682389807;1190.2752405051287;356.82037044642891;VN;AS
6963577;133.237.48.124;230.7475261970803;235.09437318734791;261.62695278588808;298.50172447688567;284.49698110948907;25.418026040439198;19.887391752261863;23.356585029437035;19.105091925622528;58.386162739679214;JP;AS
