mesurement id;Destination;mean(min RTT) from mPlane;mean(min RTT) from FranceIX;mean(min RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab
5277190;119.254.11.66;357.81502146788989;303.93001433944954;278.36016808868499;1455.8612614252079;1365.3825442688747;1605.8104483182265
5277174;212.27.48.10;2.0794118654434248;1.270991513761468;18.596189418960247;0.05847407231288098;0.013046106569118313;29.113284244250885
5276531;208.82.237.129;79.106489247787607;79.915400979351034;98.332587182890862;0.06311054363549605;0.051067037166509635;10.554179150468538
5277052;172.217.19.131;1.8976394545454545;1.2486799575757577;25.694029575757575;0.06046112732455098;0.0087419251999254714;10.260860615721944
5277135;91.216.63.240;17.27166231563422;30.010572424778761;47.679280029498528;0.11706941886654051;1.8193190817472584;15.772147816610476
5276416;172.217.16.78;1.8929184756097561;1.5982765091463413;26.202577835365858;0.03641340546200552;0.015576216034957232;40.239938151521685
5276743;104.23.197.8;1.8374943445121954;1.0787456493902439;24.234802865853659;0.055956996746597779;0.01492506176670939;10.502017762739042
5277207;104.28.27.209;1.9978356269113149;1.1131905688073396;24.204725963302753;0.086969478202435724;0.013433682729578601;11.039871914165664
5276812;213.180.141.140;37.413874049079759;42.106004245398772;49.464055628834352;0.092142581373788973;0.33987418962419752;9.722349032745079
5276898;172.217.19.131;1.9449632317073171;1.2496368810975609;25.460932210365854;0.086292820401141432;0.008105558834677935;9.6053503626543346
5276729;104.20.93.127;2.0179105368098158;1.1237890030674849;24.273890276073619;0.093002390676935762;0.011908069538315939;10.84760670116296
5277477;49.129.31.76;262.06962693251535;286.71198213803677;286.32935550613496;49.708384958526779;28.980674445016032;25.859386387533547
5276908;198.134.112.232;84.116645412844036;77.984165143730891;105.10376978593271;0.031629218744707047;22.625608636738399;13.780070352811887
5277374;216.35.221.76;88.107830567484655;92.404325098159504;103.89670937116563;0.51701353676953976;8.3236822746590384;39.464962734134652
5276600;123.126.99.31;389.84380680981593;376.28938396319018;403.48359473926382;3618.2080675656557;1683.6486915125649;2853.7687998513984
5277103;207.244.80.166;82.808709926253684;85.40063461651917;112.15731443952804;8.933575324407883;10.569557256298664;24.299018649890844
5276598;172.217.19.131;1.9511117125382265;1.2791775626911315;25.832983180428137;0.57256655848483473;0.0086416989962460698;9.8733309519157242
5277056;104.20.69.204;1.8158649847560975;1.1130677560975608;24.200445365853657;0.25512380956288089;0.012820614661556365;11.626019149760538
5277441;117.79.92.119;365.34312780564267;270.72979079937301;261.21910043887146;2203.0476663449131;594.27261275430953;578.78219264792881
5277323;222.223.239.125;345.22459490881459;325.60593926443767;308.98207434650453;2234.0426059058263;885.1482745357763;3130.1572217259736
5277090;104.96.26.164;1.9331343362831854;1.2379934483775812;35.189459203539826;0.096693366011580115;0.013014124743627866;25.129576256999073
5276525;184.173.147.39;80.219915929203538;86.468800383480826;102.51085104719765;1.1770096401903607;2.828286690611642;18.238884652457234
5277368;74.50.63.27;110.40828216463413;112.3885044237805;129.62357336890247;0.030499534007204662;6.5637151694111457;13.652904329893154
5276474;104.244.42.5;13.646322201834861;15.92089255351682;23.071851116207952;176.96054486687038;0.21541834007142144;9.3649665877329298
5276890;208.85.40.20;151.12972349085365;166.07007542682928;166.24207612804878;16.072653160799629;35.950294274180244;24.479476795580119
5276894;104.20.30.112;2.0286193362831857;1.1331548672566372;24.043880634218286;0.99268319090081314;0.32078457244708258;9.6539027407790226
5276604;172.217.19.131;1.9643383231707316;1.279771625;25.815410564024393;0.18714685782417004;0.011275195898319742;11.757068513208143
5276932;192.161.154.1;80.737312050147494;80.754091336283182;99.628369483775813;24.85089098289734;0.77467227663383986;41.142709036291841
5276852;212.77.98.9;37.111204233128838;36.864491607361963;49.452064616564428;0.41699149283254067;0.026202308878465447;14.630565081476004
5276986;79.175.144.35;131.69689092879256;134.97568916718268;189.8317678482972;199.27273664001646;181.61960251688021;283.63657096448242
5277157;202.80.220.213;321.45756467455618;228.96099866863906;235.63776321005915;139.3349526227193;153.21018847142315;138.36949301011683
