mesurement id;Destination;mean(avg RTT) from mPlane;mean(avg RTT) from FranceIX;mean(avg RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab
5276848;46.28.209.20;21.7547935840708;31.328099505408851;43.978321833825369;26.25713111428399;6.6036871628010587;25.76858945444501
5277249;165.254.226.65;149.15547026303156;151.09966253048083;171.10459534415017;2.4885372182702001;59.668653368206037;251.9075371764537
5277433;121.40.42.87;366.59681318181845;303.44296437272936;391.63748670959637;3422.8774530053165;769.25708848294448;2470.4941705294623
5276832;104.20.23.247;2.1749638372643068;1.3456098741433626;24.821656814159294;0.36972408599874906;3.6042736602914132;16.512564998064757
5277225;66.235.121.141;79.407155388395594;80.413646310719173;98.747286755163699;49.412679352919177;18.921821980714178;22.859623896393277
5276992;97.74.104.222;137.98412961419629;158.85669366666852;159.61713107767653;128.89446392085372;12.025292743393029;122.97646884042901
5276664;200.147.67.142;211.3822721238935;210.89989156440501;252.16216369715102;125.50054683147208;16.329572271271111;157.19314324440708
5277018;172.217.19.132;2.0910661977577978;1.39243601121315;27.233130886848624;0.15307111301885165;0.17261008962902996;100.25614894916747
5277479;72.163.4.161;114.09545321646341;117.80659276676799;134.73896595020213;65.690417898646075;64.391043825758317;383.77658891432748
5277382;192.187.93.86;145.61863576707401;144.88826109378104;165.7431340927584;81.110000133752436;291.00534208253742;208.93997311903624
5277247;104.16.29.30;2.2212835496566372;1.2503343441501473;25.56869286135634;0.70109726126672656;0.12990632005970665;28.108510483456413
5276912;182.253.238.102;324.71323923076955;212.06144521745475;220.73103282051275;2.8576696496388099;97.212747451821684;149.83657291096588
5276790;172.217.19.131;2.0431868996975684;1.8932118733537993;26.771692857142856;0.20840458135808232;68.730195294144011;18.090403467594953
5277233;104.25.160.23;2.1378606533523667;1.2481700202156802;25.267542357002366;0.67025874963388088;0.16844998228705432;25.250436927218228
5276563;123.30.175.29;288.23308348338458;265.26045108306619;307.76059441050228;337.64542195160982;1166.8950354280848;1142.3096428985866
5276904;192.33.31.51;1.7578364995088496;1.8648198987194688;26.453648281708848;0.30297121135276212;4.8069790591725647;197.16002672945388
5276874;91.211.75.193;16.836895355029885;18.41875013313728;31.40766035503432;4.4018277720255199;4.0387306874058302;27.813455884642476
5276537;124.127.180.200;408.04339745400262;333.67668257142924;286.23687597943797;132.78778217796594;2484.8014363993452;1034.1900248322418
5276868;162.212.41.11;170.27351890081931;172.69911703681103;189.31972417689263;2387.2330709831194;2238.2520138796708;1991.4535978225213
5276802;172.217.19.131;2.0409385881755351;1.412299264016208;27.070498929663913;0.24292246274433907;0.11997137233791751;41.641982859949337
5277137;209.200.152.198;10.728381966567257;15.334262514257228;23.369315334315043;3.4917696402949252;446.73311396449083;21.468950633554734
5277401;23.15.77.41;1.9051126168707317;2.4778722723564028;33.031858160571034;1.0902663337759775;0.15402877491126343;132.45297499619517
5277231;113.240.254.10;359.02081326009881;328.72085902778122;309.65709455555572;2723.1822493537538;849.96774061711767;1176.6874089982
5277221;172.217.19.132;2.1176882110094799;1.4519613893944956;26.83707099388441;0.30124209856602885;0.093563659873663427;17.72536702043605
5276460;198.41.209.138;2.0570160582819019;1.2578724248472395;25.668420598159202;0.31972580972651599;0.20251512552435377;61.495976159172706
5277263;222.158.213.148;248.40628828662804;264.77020341789563;297.61293451819085;75.17724140082467;126.28824440127345;322.8419558839712
