mesurement id;Destination;mean(min RTT) from mPlane;mean(min RTT) from FranceIX;mean(min RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277732;2001:420:1101:1::a;128.41709748511906;113.00441043749998;122.4734075297619;1.2501028422141376;0.094658137038228077;2.080179725680058;US;NA
5277565;2400:cb00:2048:1::6810:325d;1.8157899115044247;1.104974017699115;8.5437926991150448;0.16457264179704234;0.0065986897272445255;1.7064374930504582;HK;AS
5277483;2a00:1450:4007:806::2004;12.023365481927712;1.3313023704819278;18.829710496987953;0.24764728284750881;0.0067345106387994898;2.4947239362246778;IE;EU
5277684;2400:cb00:2048:1::6814:372b;1.8854878143712575;1.1274295748502994;8.4688055239520974;0.40658940576423497;0.0064168786084479908;2.0371483173354292;HK;AS
5277647;2a02:598:2::1039;19.389287448071219;18.083034899109791;23.46530912462908;24.365031788832216;7.1330790344892243;31.003391715765041;CZ;EU
5277517;2a00:1450:4007:805::2003;11.884973864306787;1.297197395280236;18.671753480825959;0.33117041302621764;0.0074523200171003907;2.4694341682365564;IE;EU
5277581;2a00:1450:4007:805::2003;11.932848535502959;1.3050298698224851;18.634263920118343;0.062109050426479517;0.0057455107289357162;2.1971338929460971;IE;EU
5277555;2a00:1450:4007:805::2003;11.940838189910979;1.2562160385756678;18.637122418397627;0.11104067486734673;0.0039715903373842686;2.6193112147718223;IE;EU
5277591;2a00:1450:4007:805::2003;11.907462410714285;1.3017309910714285;18.767199077380951;0.068341380910111077;0.0072044777141338501;2.7378867040222139;IE;EU
5277663;2a00:1450:4007:805::2004;11.845434487951806;1.4553844367469879;18.536837951807229;0.056724023778051053;0.010652874288468891;2.7202501144138775;IE;EU
5277633;2a00:1450:4007:805::2003;11.907452002967359;1.2981055044510386;18.68348856083086;0.070579272072026703;0.008420444509917635;2.347117626195629;IE;EU
5277567;2a00:1450:4007:805::2003;11.951887255192878;1.3126591602373887;18.649138813056382;0.13623999749120497;0.0084090603877428702;2.1744472878827161;IE;EU
5277503;2a00:1450:4007:807::2003;12.487417882882884;1.5725144444444445;19.317497657657661;1.1420364130242713;1.238608517822511;2.8242078575813001;IE;EU
5277529;2a00:1450:4007:806::2003;11.83225769461078;1.3416119999999998;18.839821242514969;0.055301091230313938;0.0087803153274371264;2.9153260973522732;IE;EU
5277661;2a02:6b8::2:105;62.831555630630625;50.866497213213208;58.857840240240243;13.972317392743594;2.2504368696495982;2.603134244233126;RU;EU
5277573;2a00:1450:4007:805::2003;11.914920833333335;1.2515467797619049;18.932776741071429;0.027024091912698407;0.0045648792030705439;11.161281960684542;IE;EU
5277527;2a00:1450:4007:805::2003;11.943078298507464;1.3010819850746269;18.683027313432838;0.063268639052179526;0.0074520049581161957;2.292054032327409;IE;EU
5277726;2a02:6b8::224;13.441407151335309;37.069495501483679;22.374714228486646;7.5239518231746745;0.16152012578202443;17.990830511078634;RU;EU
5277507;2a00:1450:4007:805::2003;11.937805281065089;1.2432376065088757;18.738364689349112;0.13083058586271687;0.0036428845678422067;3.0915167643245334;IE;EU
5277637;2a04:4e42:600::230;9.8980031343283574;8.680746943283582;21.439581701492536;0.28287424931778787;0.0059685905672355825;2.0168779350639703;;EU
5277563;2a00:1450:4007:805::2003;11.873894181547618;1.3041852619047618;18.73415566964286;0.40335568577961278;0.0074037795792528342;2.4376826962869766;IE;EU
5277635;2a04:cb41:f016:4::11;22.288672551928784;19.532479581602374;27.270321261127599;0.024598729861440183;61.912230864643327;2.6818538581970008;NL;EU
5277541;2a00:1450:4007:805::2003;11.934239319526627;1.3004507100591716;18.698048491124261;0.15264429857364942;0.0068991667214603116;2.7062976084000905;IE;EU
