mesurement id;Destination;mean(max RTT) from mPlane;mean(max RTT) from FranceIX;mean(max RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277529;2a00:1450:4007:806::2003;12.303256287425148;1.799515389221557;19.69678124251497;6.888509250211067;3.3081155140724356;7.5417719173268249;IE;EU
5277661;2a02:6b8::2:105;64.597947267267273;54.671210198198203;61.840649444444438;105.57234876592722;1251.084672197853;193.391655801643;RU;EU
5277573;2a00:1450:4007:805::2003;12.470400059523811;1.5887536904761905;21.283429255952381;10.612245272613833;1.0580656872156602;217.2262363967838;IE;EU
5277527;2a00:1450:4007:805::2003;12.209596119402987;1.5643317761194027;24.322369641791045;0.90929254451912012;0.18326800852492003;2977.8968828217389;IE;EU
5277726;2a02:6b8::224;14.795006928783383;38.431225394658753;24.077663397626111;45.950871810982626;94.97128267486697;31.813298679861227;RU;EU
5277507;2a00:1450:4007:805::2003;12.511860369822486;1.7125837869822487;22.791936671597636;13.388072044211476;11.566353817664014;799.61655860560325;IE;EU
5277637;2a04:4e42:600::230;10.905468791044777;9.5222363701492547;22.578140014925371;89.473366009833697;69.198041008309374;11.571298066778731;;EU
5277563;2a00:1450:4007:805::2003;12.903164360119046;1.5681142470238096;21.918869166666667;31.316061565897286;0.22814334005797771;130.72628977493255;IE;EU
5277635;2a04:cb41:f016:4::11;22.709871943620183;21.554304845697331;28.877396023738871;2.0276826950054958;535.15231653478452;64.025610909319496;NL;EU
5277541;2a00:1450:4007:805::2003;12.603794275147928;1.5719479082840238;20.653250177514792;26.693630952666116;0.26497148196137316;21.356270084776892;IE;EU
5277621;2400:cb00:2048:1::6810:7a6c;2.4806671597633136;1.4772988816568047;12.24665217455621;7.141123612189566;0.84705805451248894;259.5409810738596;HK;AS
5277659;2400:cb00:2048:1::6814:4a6a;2.3207075221238935;1.5826913923303834;11.23377237463127;0.77972288647984833;5.7116652137631707;131.92768964993044;HK;AS
5277734;2400:cb00:2048:1::681b:a0a0;2.2819014836795253;1.4084780296735906;10.379154569732938;1.8064082716975014;0.39106128405255114;14.50969332818535;HK;AS
5277676;2001:41d0:8:2674::70;5.8405536238532108;10.319986259938839;19.646499051987771;8.1401451554702771;1.200171539973893;268.44439501249678;FR;EU
5277674;2400:cb00:2048:1::6814:44cc;2.2784038095238097;1.3855023273809526;10.250434702380952;2.1241667376009636;0.3268313824409167;35.999165087419108;HK;AS
5277495;2a00:1450:4007:805::2003;12.139712344213649;1.7097869614243324;21.023291765578634;0.90329135540815453;1.4832294163241915;58.722837960010906;IE;EU
5277545;2a00:1450:4007:805::2003;13.066055805970148;1.724096319402985;21.050581029850747;59.538683848012475;4.6170487804437705;54.907651738859165;IE;EU
5277672;2a00:1450:4007:805::2003;12.677027751479288;1.4713134881656804;19.86064801775148;31.677313951411961;0.2703441494410842;31.540653185581569;IE;EU
5277704;2a00:1450:4007:805::2003;12.545477144970413;1.5122106923076923;20.400418653846152;7.2136178888695861;0.45109293102487591;130.21174116506836;IE;EU
5277720;2400:cb00:2048:1::6814:50f4;2.40358940652819;5.825690050445103;10.903688991097924;1.5310210068911907;2910.7631342150635;134.80416033759914;HK;AS
5277730;2001:260:401:270::43;264.66858063253017;232.02348100000003;253.337900496988;7.2805031384529055;218.53984087373749;1480.8730834432247;JP;AS
5277607;2a00:1450:4007:805::2003;12.628391379821958;1.64047953115727;20.443167626112761;29.597630634634363;1.9861339148809734;29.391809376427453;IE;EU
5277615;2a00:1450:400c:c02::a0;16.717090597014924;8.3592508149253728;24.626898552238806;4.2757258855330758;1379.0457311005509;20.026908252319615;IE;EU
5277533;2a00:1450:4007:805::2003;14.234790761194029;1.6054938089552238;20.419489268656715;1109.7439743382001;2.0784865310418317;83.904720258939236;IE;EU
5277653;2001:1890:1c00:5112::f:1008;121.21174994065281;99.003162109792299;116.20585811572701;43.889986041132346;28.974366013527113;48.025042593422633;US;NA
