mesurement id;Destination;median(min RTT) from mPlane;median(min RTT) from FranceIX;median(min RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277732;2001:420:1101:1::a;128.476135;112.9524945;122.04244750000001;1.2501028422141376;0.094658137038228077;2.080179725680058;US;NA
5277565;2400:cb00:2048:1::6810:325d;1.766535;1.0971930000000001;8.1949100000000001;0.16457264179704234;0.0065986897272445255;1.7064374930504582;HK;AS
5277483;2a00:1450:4007:806::2004;11.979610000000001;1.3183990000000001;18.388462500000003;0.24764728284750881;0.0067345106387994898;2.4947239362246778;IE;EU
5277684;2400:cb00:2048:1::6814:372b;1.8113425000000001;1.121712;8.1017825000000006;0.40658940576423497;0.0064168786084479908;2.0371483173354292;HK;AS
5277647;2a02:598:2::1039;18.969735;17.896189;22.651855000000001;24.365031788832216;7.1330790344892243;31.003391715765041;CZ;EU
5277517;2a00:1450:4007:805::2003;11.89348;1.288834;18.296060000000001;0.33117041302621764;0.0074523200171003907;2.4694341682365564;IE;EU
5277581;2a00:1450:4007:805::2003;11.906639999999999;1.2995695;18.268167500000001;0.062109050426479517;0.0057455107289357162;2.1971338929460971;IE;EU
5277555;2a00:1450:4007:805::2003;11.909929999999999;1.2484960000000001;18.282405000000001;0.11104067486734673;0.0039715903373842686;2.6193112147718223;IE;EU
5277591;2a00:1450:4007:805::2003;11.878127500000002;1.2879525000000001;18.292742500000003;0.068341380910111077;0.0072044777141338501;2.7378867040222139;IE;EU
5277663;2a00:1450:4007:805::2004;11.819925;1.437511;18.0638425;0.056724023778051053;0.010652874288468891;2.7202501144138775;IE;EU
5277633;2a00:1450:4007:805::2003;11.88316;1.2835810000000001;18.268155;0.070579272072026703;0.008420444509917635;2.347117626195629;IE;EU
5277567;2a00:1450:4007:805::2003;11.911535000000001;1.2990250000000001;18.272765;0.13623999749120497;0.0084090603877428702;2.1744472878827161;IE;EU
5277503;2a00:1450:4007:807::2003;12.192955;1.287606;18.705995000000001;1.1420364130242713;1.238608517822511;2.8242078575813001;IE;EU
5277529;2a00:1450:4007:806::2003;11.806415000000001;1.3418874999999999;18.359245000000001;0.055301091230313938;0.0087803153274371264;2.9153260973522732;IE;EU
5277661;2a02:6b8::2:105;62.224604999999997;50.717641;58.404515000000004;13.972317392743594;2.2504368696495982;2.603134244233126;RU;EU
5277573;2a00:1450:4007:805::2003;11.900075000000001;1.2374345;18.264189999999999;0.027024091912698407;0.0045648792030705439;11.161281960684542;IE;EU
5277527;2a00:1450:4007:805::2003;11.9072;1.29043;18.29336;0.063268639052179526;0.0074520049581161957;2.292054032327409;IE;EU
5277726;2a02:6b8::224;13.08695;37.010423000000003;21.483205000000002;7.5239518231746745;0.16152012578202443;17.990830511078634;RU;EU
5277507;2a00:1450:4007:805::2003;11.904795;1.2337025000000001;18.273215;0.13083058586271687;0.0036428845678422067;3.0915167643245334;IE;EU
5277637;2a04:4e42:600::230;9.8404199999999999;8.6767230000000009;21.085819999999998;0.28287424931778787;0.0059685905672355825;2.0168779350639703;;EU
5277563;2a00:1450:4007:805::2003;11.870419999999999;1.2906300000000002;18.322775;0.40335568577961278;0.0074037795792528342;2.4376826962869766;IE;EU
5277635;2a04:cb41:f016:4::11;22.268644999999999;18.927102999999999;26.7301;0.024598729861440183;61.912230864643327;2.6818538581970008;NL;EU
5277541;2a00:1450:4007:805::2003;11.8945075;1.2918599999999998;18.266775000000003;0.15264429857364942;0.0068991667214603116;2.7062976084000905;IE;EU
5277621;2400:cb00:2048:1::6810:7a6c;1.9121250000000001;1.0976029999999999;8.2101749999999996;0.1451708859875733;0.0049638962809485749;2.8159719207095697;HK;AS
5277659;2400:cb00:2048:1::6814:4a6a;1.85121;1.0605500000000001;8.3299450000000004;0.084215500594055928;0.003904908500580625;2.1308811311525115;HK;AS
5277734;2400:cb00:2048:1::681b:a0a0;1.8123499999999999;1.0854330000000001;8.1186849999999993;0.068601465527283856;0.0057225880421299122;2.1582048033096939;HK;AS
5277676;2001:41d0:8:2674::70;5.1426299999999996;9.8449589999999993;15.565519999999999;2.5721566875949295;0.0073426071177819675;107.74382306971835;FR;EU
5277674;2400:cb00:2048:1::6814:44cc;1.7703025000000001;1.1027425;8.1481874999999988;0.10583429087557308;0.0060620427132053482;2.6577589995692223;HK;AS
5277495;2a00:1450:4007:805::2003;11.86246;1.3038449999999999;18.277584999999998;0.10037257245830289;0.0080284609422369476;2.0039508355346825;IE;EU
5277545;2a00:1450:4007:805::2003;11.912495;1.2899849999999999;18.265429999999999;0.13323604227592342;0.0091244367763030892;2.2800740210410617;IE;EU
5277672;2a00:1450:4007:805::2003;11.920477500000001;1.240307;18.279845000000002;0.21271022677452145;0.0066295589309200327;2.3631148747214863;IE;EU
5277704;2a00:1450:4007:805::2003;11.8749675;1.2357174999999998;18.270200000000003;0.039848284007191828;0.0050801208175277899;2.7623969804153381;IE;EU
5277720;2400:cb00:2048:1::6814:50f4;1.875345;1.134036;8.0242550000000001;0.098093315783245441;150.49503487784534;2.8886418368360447;HK;AS
5277730;2001:260:401:270::43;263.78160000000003;229.1223315;246.44905249999999;2.1448728164660329;0.19063646045351992;4.4915205589698246;JP;AS
5277607;2a00:1450:4007:805::2003;11.903915;1.246316;18.267800000000001;0.043496757510368578;0.0069497951422935475;2.223958984238291;IE;EU
5277615;2a00:1450:400c:c02::a0;16.236605000000001;5.9983180000000003;22.825485;0.13715664391723018;0.012755404644522758;2.1394796084227208;IE;EU
5277533;2a00:1450:4007:805::2003;11.892374999999999;1.258731;18.267685;0.060219862856893291;0.0046252961439280007;2.2815416455758939;IE;EU
5277653;2001:1890:1c00:5112::f:1008;119.686325;98.207620000000006;114.326525;6.447768465432941;0.50854354451529393;2.6652215646194142;US;NA
5277722;2400:cb00:2048:1::6818:a02;1.91144;1.1081369999999999;8.1959999999999997;0.45880719583136187;0.0057870745235942102;2.0371563142454971;HK;AS
5277603;2400:cb00:2048:1::6810:56ca;1.8401799999999999;1.0986480000000001;8.0264600000000002;0.23771124568658647;0.0070584473745208967;2.7349872696350972;HK;AS
5277639;2a00:1450:4007:805::2003;11.870805000000001;1.2851399999999999;18.259844999999999;0.11324221247440275;0.008003686413043571;2.003503030893544;IE;EU
5277728;2400:cb00:2048:1::681b:d61e;1.886595;1.0958730000000001;8.1718600000000006;0.082031852480326115;0.0067732105626725422;2.0993816018203622;HK;AS
5277645;2a00:1450:4007:805::2003;11.908519999999999;1.2974650000000001;18.3049;0.42540699011260863;0.0081762270382352217;2.4197971631727691;IE;EU
5277596;2001:978:2:aa::25:2;11.142860000000001;10.911322;15.56038;0.074804144165431616;0.008818875087635911;2.2239941727746859;DE;EU
5277696;2a00:1450:4007:805::2003;11.89597;1.2900100000000001;18.279655000000002;0.079463470344144083;0.0080070983485721458;2.6280855713931106;IE;EU
5277629;2a00:1450:4007:805::2003;11.902480000000001;1.259212;18.314679999999999;0.39099737081368774;0.0083967127219755217;2.1619303432499652;IE;EU
5277668;2a00:1450:4007:805::2003;11.890555000000001;1.3020689999999999;18.261939999999999;0.60232852243937629;0.0065891727068141835;1.8685197041966073;IE;EU
5277686;2400:cb00:2048:1::6819:1b65;1.7819700000000001;1.0558099999999999;8.1538050000000002;0.072210545840418153;0.0043975834357388548;2.3810444877945955;HK;AS
5277558;2400:cb00:2048:1::6814:104;1.7953699999999999;1.04975;8.036505;0.056398264649931314;0.0040582971781794154;2.4631987268744306;HK;AS
5277501;2a02:6b8:a::a;41.052149999999997;36.950175999999999;58.516615000000002;16.538475449479982;0.1466138809660148;1.8601237985393273;RU;EU
5277511;2a00:1450:4007:805::2003;11.88546;1.2863;18.26201;0.057720572443652481;0.0087718951522009914;2.7795950710814905;IE;EU
5277497;2620:109:c002::6cae:a0a;90.660804999999996;77.201427999999993;98.692430000000002;1.759751427605178;0.032718504126232693;2.404916894046532;US;NA
5277710;2400:cb00:2048:1::6814:4298;1.9436;1.1331359999999999;8.0899099999999997;0.16516756195916774;0.0074344857567649764;2.3873683542505755;HK;AS
5277698;2a04:cb41:f016:1::46;19.170182500000003;19.541685000000001;23.209195000000001;0.16621369236230885;30.386883112966675;3.009690381832276;NL;EU
5277537;2a00:1450:4007:805::2003;11.901809999999999;1.297515;18.271355;0.12720304849883143;0.0078052085698889131;5.2871934642243863;IE;EU
5277631;2400:cb00:2048:1::6819:1863;1.8363849999999999;1.123437;8.0798249999999996;0.060494671377955;0.0066335229209979951;2.2149300250015922;HK;AS
5277702;2a00:1450:4007:80c::2009;11.88495;1.3338239999999999;18.364799999999999;0.28968371562121231;0.008075616010053176;2.3120851315497224;IE;EU
