mesurement id;Destination;mean(max RTT) from Gandi;mean(max RTT) from mPlane;mean(max RTT) from FranceIX;mean(max RTT) from LISP-Lab;mean(max RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6964731;2a02:6b8::224;58.327328249299718;44.296970791316532;40.571747540616251;65.60429535714286;291.82624090756303;6480.591603126546;41.727489330931547;96.153600843029366;2587.0572847773437;219878.52678930157;RU;EU
6964626;2400:cb00:2048:1::6810:7a6c;13.967281576223776;2.5944496223776223;1.6499829454545456;9.2910552937062949;231.20518639020978;2212.4757575215099;7.9655688516069914;3.2230595595185969;25.382556209486843;779504.35036712175;HK;AS
6964670;2400:cb00:2048:1::6819:af1b;19.993898032167834;2.6075062097902095;3.3074742419580421;10.221722762237761;186.39323998741256;13680.906194370853;4.7121766057089216;571.59708764272091;66.453692638257863;25874.432376724657;HK;AS
6964735;2001:260:401:270::43;449.0400485356551;260.44921165008293;232.24643170315096;247.48365819237151;391.50150123880593;348262.60048134846;51.373338324078908;135.21725279355132;11.332821521497065;3406503.8284832151;JP;AS
6964727;2400:cb00:2048:1::6818:a02;53.31867755555556;2.6365520745428976;1.8519883389592124;10.296952580872011;345.68972967088609;43449.22344113791;4.9538390451798389;5.6824955144851801;78.441536312453422;6821917.8832851416;HK;AS
6964544;2a00:1450:4007:806::2009;84.191264330472094;12.666087339055794;1.9537335221745351;20.485087203147355;245.13267664234621;106144.6857117342;19.260431934024105;4.767833493146898;143.97769886649621;19631.174883794403;IE;EU
6964739;2400:cb00:2048:1::681b:a0a0;21.894961921104539;2.4263279487179492;1.5699006351084812;10.440824270216963;360.64757349704144;8305.0791037742256;2.3898079293235042;2.9760426744263775;187.21615089795722;6675052.3949237121;HK;AS
6964681;2001:41d0:8:2674::70;38.264178771812084;5.6908811073825509;11.979328486577181;16.74817412751678;101.03445753523491;9330.5693923809995;18.077077302778047;490.34625757425164;21.802894589849572;33798.827232272481;FR;EU
6964624;2620:0:862:ed1a::1;26.037876841481484;14.691199644444444;11.752215408888889;21.459907740740739;187.09523115703706;1510.6087077100487;43.729476708076618;1.1267610104454149;16.646920598172045;10856.75311363159;US;NA
6964725;2400:cb00:2048:1::6814:50f4;5.9325616680851052;2.8830180212765959;1.6136333687943263;11.887528333333332;320.02576097446808;148.60120574832271;25.121599826624632;3.0575311992571179;1573.2941024189636;3657531.6892875042;HK;AS
6964532;2a00:1450:4007:805::2009;17.725333156565657;12.354385113636361;1.8616618434343437;19.041420972222223;180.66960436868689;10840.659631976658;2.4941633638551011;2.4304512067066621;15.373630563700758;5579.9014440963565;IE;EU
6964729;2400:cb00:2048:1::6814:3338;25.546585882692305;2.5254812692307698;2.783690098076923;9.2129964807692311;396.81060152115384;5707.1639200301543;5.5572958571426199;302.25880281662444;27.114694496202041;5363702.9311764305;HK;AS
6964508;2a00:1450:4007:805::2003;30.114512178770948;12.543550328212291;2.0294065824022347;20.248828966480449;201.98081191480446;23702.50396168499;4.6531158032837956;20.413688767631538;129.40642150648941;509769.03852588771;IE;EU
6964552;2a02:b48:4000:d::1;75.785933156891502;20.796909090909089;11.878815825513195;19.278363042521995;274.53880001466274;69589.053755180241;23.776972717718159;459.5937078223638;71.541414413472452;1496359.8835558649;UA;EU
6964602;2001:978:2:aa::25:2;22.231274085561498;21.90118810160428;15.459107371657755;16.117507112299464;281.65453874331547;803.10511857908352;8.0245081686088291;2559.8436410622885;22.049506442140991;3589060.280070215;DE;EU
6964574;2400:cb00:2048:1::6810:325d;20.678431151685391;2.5196187991573034;1.805998220505618;10.196928785112359;198.47201897191013;4707.0756677470927;4.5548605309847581;7.4626164845600034;105.86495425846704;16690.278908465749;HK;AS
6964717;2a02:6b8:a::a;84.349381266197184;45.120132788732398;40.282706377464791;59.4877583028169;283.11777570704226;14683.184431207128;107.59694373410591;92.759977031588861;24.390374113426731;43358.396871172874;RU;EU
6964594;2400:cb00:2048:1::6814:1c30;8.9334186881118889;2.5991769300699303;1.7170114867132864;10.870309090909092;239.24784949930071;153.69955108231702;18.955157696043553;3.3832424561734133;143.46364419881527;2160637.3840939212;HK;AS
6964504;2620:0:862:ed1a::1;22.413318160396042;14.574467584158416;11.713980392079208;22.052526881188118;296.16537156039607;249.80792572743528;15.270429357257038;2.2435139725232602;35.825828242569038;4284702.3333320888;US;NA
6964620;2a00:1450:400c:c02::a0;9.7549523315789468;16.819246157894739;8.409607252631579;23.544186144736848;301.47396970526313;73.549467139181019;8.5085922775910277;851.10185333258232;34.967477538008488;5583796.0387818916;IE;EU
6964642;2a04:4e42:600::230;168.27903455105104;12.342053558558559;101.42179205855855;21.980706006006006;355.96579609909907;77844.641338172616;35.438592220107608;122.39009310783898;97.915642949344573;7748696.3296965277;;EU
6964733;2400:cb00:2048:1::681b:d61e;31.730700880785413;2.6538736044880782;1.7453956676016829;11.510505000000002;195.75014661851333;23729.175164758562;3.9181661880210186;4.374785588011016;985.11511540470133;13327.56711038998;HK;AS
6964737;2001:420:1101:1::a;126.30860109126213;129.08152248543689;115.36754387961163;123.71539166019419;245.34532328155339;965.54766050102012;37.744216856145464;131.79413124918415;57.838738161953785;2360552.2525144131;US;NA
6964496;2a00:1450:4007:806::2004;64.933710799438984;12.761463008415149;1.7958033211781206;19.55261370967742;181.98622239270688;94098.68726654588;13.04474197733944;0.67475906990289136;35.861165617141388;3325.4884322621615;IE;EU
6964586;2400:cb00:2048:1::681b:671;21.506375176718095;2.7349337587657785;1.6491937531556804;8.9506983450210384;324.61879396493691;9274.654566235964;12.20300758372872;4.6294402967707944;9.4015388260660551;5218884.4491995946;HK;AS
6964695;2a00:1450:4007:805::2004;72.17860736886395;12.407117566619917;1.9901785890603085;20.009943064516126;190.32193775035063;102026.24643860216;17.016377752838995;3.8406663695929821;59.488654469173326;14816.385258648563;IE;EU
6964514;2a02:6b8:a::a;50.17683234146341;44.400582005420048;40.459241230352305;59.46186937669377;212.80643011111107;913.34148607303689;32.217060465541365;94.654799719145245;27.957802424793243;4661.7635556133928;RU;EU
6964703;2a04:cb41:f016:1::46;34.601860326315787;12.373227526315791;14.788480194736845;24.350624684210526;367.19424076491225;428.72312185427472;6.4702913471936183;33.685877050368354;23.995593079418757;282897.52665991848;NL;EU
6964506;2a00:1450:4007:805::2003;12.528420413001911;12.518094904397707;1.8041982657743785;19.099219732313575;365.42351895028679;322.45664725258047;4.2068379924079258;2.1089223504022065;24.42025129780107;5113016.9223434487;IE;EU
6964524;2a00:1450:4007:805::2003;7.058164778364115;12.441601134564646;1.7094374617414247;19.809793350923481;408.19928977836418;622.44475682975008;2.5483616626977894;0.71653376630484999;115.70926108198772;7301902.5588799464;IE;EU
6964689;2400:cb00:2048:1::6814:372b;5.5468645804195802;2.6479047622377623;1.7071158825174826;10.274853468531468;317.81041865594409;86.797557163472632;5.8949855786191048;4.4144775953241009;54.956013523362721;3758655.4604883566;HK;AS
6964648;2620:106:e003:f00e::63;245.01897170262393;148.29901764577261;136.06797397959184;170.65652978862974;240.1834478265306;101772.37894341306;55.27235200370783;120.26867990418395;59.125960486665136;109033.60092311467;US;NA
6964658;2001:1890:1c00:5112::f:1008;146.33882862123895;115.17897243362832;102.86898188849557;115.05130750442478;211.68796852920354;31547.343828897134;101.57594063554184;1846.3795645084449;87.610330225531825;24319.131413643056;US;NA
6964685;2400:cb00:2048:1::6814:3fcb;32.63030646442688;2.5679714229249013;5.3979331660079053;9.0344370454545455;259.06656256126479;32598.15213299443;6.2570236890078563;2313.3462634397683;7.1286162911383562;1812924.9393387234;HK;AS
6964723;2a02:6b8::50;184.46952715078234;55.045316899004263;61.648082897581787;64.831320455192028;301.11400988904694;205517.0747128418;25.797749607005528;175.43846829257271;37.539335260326325;143858.71218673949;RU;EU
6964616;2400:cb00:2048:1::6810:35a2;82.946854496503491;2.4516587202797204;2.533467082517483;10.32256420979021;194.97936464895105;128489.86729958051;4.5966785673505646;292.73699823222137;44.129775223615283;32632.610038281127;HK;AS
6964542;2a00:1450:4007:806::2003;71.467866336158195;12.371279385593223;2.3931488799435026;20.697092796610168;242.34320901694915;65682.534967751853;4.2356620130474694;108.7644574551102;131.0999729957162;34212.720933512166;IE;EU
6964666;2a02:6b8::2:105;87.284281566807294;64.11971629395218;56.507801752461319;64.904032503516177;310.71229587060481;28891.208726317047;28.111705542844948;67.888695374396491;230.30659084511572;1334340.980102679;RU;EU
