measurement_id;destination;common_hops_num;FranceIX_hops_num;LISP-Lab_hops_num;FranceIX_country_path;LISP-Lab_country_path;Country;Continent
6963652;68.71.212.186;2;5;5;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964123;104.31.76.24;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963564;217.20.155.58;1;3;6;['/', 'RU', 'RU'];['FR', 'FR', 'IT', 'US', 'RU', 'RU'];RU;EU
6963803;54.230.197.162;1;4;4;['FR', 'FR', None, 'US'];['FR', 'FR', 'FR', 'NL'];US;NA
6964358;103.10.4.216;2;4;5;['FR', 'FR', None, 'TW'];['FR', 'FR', 'DE', None, 'TW'];TW;AS
6963644;123.126.99.31;2;4;6;['FR', None, 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN'];CN;AS
6964410;192.0.78.24;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963920;151.101.128.230;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963646;110.76.19.33;3;5;7;['FR', 'US', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN', 'CN'];CN;AS
6964197;37.187.134.184;1;3;4;['FR', 'FR', 'FR'];['FR', 'FR', 'DE', 'FR'];FR;EU
6963827;151.101.32.68;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963722;54.192.199.95;1;3;4;['FR', None, 'US'];['FR', 'FR', 'FR', 'NL'];US;NA
6964115;203.183.234.2;1;5;7;['FR', 'FR', 'US', 'US', 'JP'];['FR', 'FR', 'DE', 'US', 'JP', 'JP', 'JP'];JP;AS
6963726;104.103.89.231;1;4;6;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'GB', None, 'US'];US;NA
6964483;23.45.151.67;1;3;5;['FR', None, 'GB'];['FR', 'FR', 'DE', 'GB', None];US;NA
6963823;193.164.196.82;2;3;4;['FR', 'FR', 'FR'];['FR', 'FR', 'FR', 'FR'];FR;EU
6963686;50.97.35.152;2;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'FR', 'US'];US;NA
6963977;192.161.154.1;2;5;5;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'US', 'US'];US;NA
6963622;212.58.244.22;1;3;5;['FR', 'FR', 'GB'];['FR', 'FR', 'DE', 'GB', 'GB'];GB;EU
6964430;67.228.27.108;2;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'FR', 'US'];US;NA
6963474;172.217.16.78;1;4;4;['FR', 'FR', None, 'US'];['FR', 'FR', 'IT', 'US'];US;NA
6964420;213.180.193.50;1;3;4;['FR', 'FR', 'RU'];['FR', 'FR', 'DE', 'RU'];RU;EU
6964339;209.15.209.70;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];CA;NA
6964101;104.20.69.204;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964309;104.24.4.33;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964479;118.184.184.70;4;6;8;['FR', 'US', 'CN', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN', 'CN', 'CN'];CN;AS
6964277;151.101.65.95;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963993;163.172.21.184;1;2;4;['FR', 'FR'];['FR', 'FR', 'FR', 'FR'];GB;EU
6963522;104.156.85.84;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964279;72.21.91.8;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964462;37.58.17.122;2;4;6;['FR', None, 'TR', 'TR'];['FR', 'FR', 'DE', 'GB', 'TR', 'TR'];TR;AS
6964313;54.231.241.169;1;3;5;['FR', None, 'SG'];['FR', 'FR', 'DE', 'GB', 'SG'];US;NA
6963542;151.101.60.193;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964311;104.20.24.138;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964113;176.32.100.45;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];NL;EU
6964141;149.154.167.99;1;2;4;['FR', 'GB'];['FR', 'FR', 'DE', 'GB'];GB;EU
6963698;93.184.220.127;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963706;104.94.192.167;1;3;6;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', None, 'US'];US;NA
6963914;119.28.48.239;2;5;6;['FR', 'FR', 'US', 'US', 'CN'];['FR', 'FR', 'DE', 'GB', 'US', 'CN'];CN;AS
6964017;159.226.6.133;4;6;8;['FR', 'US', 'US', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'US', 'CN', 'CN', 'CN'];CN;AS
6964209;216.200.199.56;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964370;140.205.170.62;4;6;7;['FR', 'FR', 'US', 'CN', 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN', 'CN'];CN;AS
6964315;104.20.66.152;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963801;104.70.242.123;1;3;4;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB'];US;NA
6963612;123.30.175.29;2;4;6;['FR', None, 'VN', 'VN'];['FR', 'FR', 'DE', 'GB', 'VN', 'VN'];VN;AS
6963494;172.217.19.131;1;1;4;['US'];['FR', 'FR', 'IT', 'US'];US;NA
6964043;104.16.65.178;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963478;111.13.101.208;1;4;4;['FR', None, 'HK', 'CN'];['FR', 'FR', 'DE', 'CN'];CN;AS
6963813;104.20.24.135;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963918;91.211.75.193;1;3;4;['FR', 'FR', 'NL'];['FR', 'FR', 'DE', 'NL'];NL;EU
6964059;203.12.21.5;3;6;7;['FR', 'FR', None, 'ID', 'ID', 'ID'];['FR', 'FR', 'DE', 'ID', 'ID', 'ID', 'ID'];ID;AS
6963502;95.213.11.146;1;5;4;['FR', 'FR', 'RU', '/', 'RU'];['FR', 'FR', 'DE', 'RU'];RU;EU
6964436;104.20.43.155;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963954;54.230.196.80;1;3;4;['FR', None, 'US'];['FR', 'FR', 'FR', 'NL'];US;NA
6963882;62.153.159.92;2;3;5;['FR', 'FR', 'DE'];['FR', 'FR', 'DE', 'FR', 'DE'];DE;EU
6963991;184.51.148.169;1;4;5;['FR', 'FR', None, 'FR'];['FR', 'FR', 'DE', 'GB', 'FR'];NL;EU
6964386;140.205.170.62;4;5;7;['FR', 'US', 'CN', 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN', 'CN'];CN;AS
6964081;68.233.77.233;2;4;6;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6964079;85.111.30.111;2;3;6;['FR', None, 'TR'];['FR', 'FR', 'DE', 'GB', None, 'TR'];TR;AS
6963851;107.154.110.40;2;4;5;['FR', 'US', 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963548;220.243.193.127;2;2;5;['US', 'CN'];['FR', 'FR', 'FR', 'US', 'CN'];CN;AS
6963855;213.180.141.140;2;4;6;['FR', None, 'PL', 'PL'];['FR', 'FR', 'FR', 'FR', 'PL', 'PL'];PL;EU
6963500;54.236.213.89;2;4;6;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6963508;172.217.19.131;1;1;4;['US'];['FR', 'FR', 'IT', 'US'];US;NA
6964471;104.27.214.30;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964351;192.33.31.72;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964388;155.64.49.54;2;5;5;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964360;146.197.184.71;0;4;1;['FR', None, 'US', 'US'];['FR'];US;NA
6964007;52.207.3.146;2;4;6;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6964374;104.20.73.64;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963859;96.114.14.140;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
